parameter,estimate,se,se_model,se_type,z,hazard_ratio,hr_lo,hr_hi,transition,term,extension,loglik,lr_test_vs_full,df,converged
q32:same_state_prev,-0.8967412532808311,0.0485189791523666,0.0485189791523666,observed information,-18.48227784151739,0.4078967284013219,0.3708941925181623,0.4485908498886899,L to D,same_state_prev,duration,-165141.38922615175,3046.3374397877487,18,True
q34:same_state_prev,-0.3068978813956193,0.1029771476386885,0.1029771476386885,observed information,-2.9802523028936347,0.7357257283558196,0.6012568343241659,0.90026809919447,L to N,same_state_prev,duration,-165141.38922615175,3046.3374397877487,18,True
q35:same_state_prev,-0.0016809669431956,0.048735193123213,0.048735193123213,observed information,-0.0344918494309814,0.9983204450904316,0.9073727478185944,1.0983840031360634,L to X,same_state_prev,duration,-165141.38922615175,3046.3374397877487,18,True
q42:same_state_prev,-1.5330772605109078,0.2224742991995778,0.2224742991995778,observed information,-6.891030856268078,0.2158703548526742,0.1395786709885248,0.3338619702723106,N to D,same_state_prev,duration,-165141.38922615175,3046.3374397877487,18,True
q43:same_state_prev,-0.028441288072153,0.2623883009021311,0.2623883009021311,observed information,-0.1083938878919813,0.9719593580786552,0.5811639605832523,1.6255395341592958,N to L,same_state_prev,duration,-165141.38922615175,3046.3374397877487,18,True
q45:same_state_prev,0.0340052934117566,0.0424768632589406,0.0424768632589406,observed information,0.8005603710532728,1.034590083224933,0.9519437247688388,1.1244116773470978,N to X,same_state_prev,duration,-165141.38922615175,3046.3374397877487,18,True
q01:period,-0.016787940741951,0.0210358010788017,0.0210358010788017,observed information,-0.7980651974727307,0.9833521914623492,0.9436328572828654,1.0247433893285256,H to C,period,period,-166487.17788529227,354.76012150669703,18,True
q02:period,-0.2391191887401917,0.0787509176706631,0.0787509176706631,observed information,-3.036398759696869,0.787321036977618,0.6747108924272255,0.918725964297918,H to D,period,period,-166487.17788529227,354.76012150669703,18,True
q05:period,-0.0357963575294121,0.1596820418371062,0.1596820418371062,observed information,-0.2241727192211665,0.9648367552190142,0.7055531601289986,1.319404428790815,H to X,period,period,-166487.17788529227,354.76012150669703,18,True
q12:period,-0.0549122394923606,0.0150465598334387,0.0150465598334387,observed information,-3.649487995942194,0.9465682156155182,0.9190603433928928,0.9748994103105536,C to D,period,period,-166487.17788529227,354.76012150669703,18,True
q13:period,-0.364690279995051,0.2053205336385482,0.2053205336385482,observed information,-1.7761997474498168,0.6944116907674831,0.4643491524847157,1.0384590855701556,C to L,period,period,-166487.17788529227,354.76012150669703,18,True
q14:period,-0.3518620550290114,0.0715126087359207,0.0715126087359207,observed information,-4.920279951306982,0.7033771426239651,0.6113859999403471,0.8092095743345864,C to N,period,period,-166487.17788529227,354.76012150669703,18,True
q15:period,-0.14194793694006,0.0278470583374201,0.0278470583374201,observed information,-5.09741227314175,0.8676664286792868,0.8215781860589653,0.9163400930450648,C to X,period,period,-166487.17788529227,354.76012150669703,18,True
q20:period,-0.6885695310808744,0.0825567164962555,0.0825567164962555,observed information,-8.34056343692043,0.5022940714610529,0.4272522480129362,0.5905161070499088,D to H,period,period,-166487.17788529227,354.76012150669703,18,True
q21:period,-0.0468395301547394,0.0170641358735187,0.0170641358735187,observed information,-2.744910759145339,0.9542405121322324,0.9228530774902436,0.9866954742901766,D to C,period,period,-166487.17788529227,354.76012150669703,18,True
q23:period,0.0500416189497756,0.0270721128831886,0.0270721128831886,observed information,1.848456349369418,1.05131485008547,0.9969848324742416,1.10860554544975,D to L,period,period,-166487.17788529227,354.76012150669703,18,True
q24:period,-0.3524444121922747,0.0910631512633574,0.0910631512633574,observed information,-3.8703296262282247,0.7029676451549477,0.5880588866885306,0.8403299759951244,D to N,period,period,-166487.17788529227,354.76012150669703,18,True
q25:period,0.1229939884006678,0.0591395018077484,0.0591395018077484,observed information,2.0797264880671213,1.1308776225438943,1.0071056913250176,1.269860957183096,D to X,period,period,-166487.17788529227,354.76012150669703,18,True
q32:period,-0.0290731187883278,0.0308653649505456,0.0308653649505456,observed information,-0.9419334206775294,0.9713454382684678,0.9143249604750296,1.0319219109525002,L to D,period,period,-166487.17788529227,354.76012150669703,18,True
q34:period,-0.3983502370933783,0.0740304720183222,0.0740304720183222,observed information,-5.380895545212627,0.6714268278959543,0.5807412569223757,0.776273391712346,L to N,period,period,-166487.17788529227,354.76012150669703,18,True
q35:period,0.060407554804696,0.0370400642254757,0.0370400642254757,observed information,1.6308706819992047,1.0622693913297006,0.9878830377588556,1.1422569440163028,L to X,period,period,-166487.17788529227,354.76012150669703,18,True
q42:period,0.1837122951773585,0.1469054239465275,0.1469054239465275,observed information,1.2505480753673768,1.2016700470902026,0.9010249450852916,1.602631436510427,N to D,period,period,-166487.17788529227,354.76012150669703,18,True
q43:period,0.4917133030336457,0.2983447001850732,0.2983447001850732,observed information,1.6481382197458825,1.635115269412165,0.9111549491260076,2.93429997480601,N to L,period,period,-166487.17788529227,354.76012150669703,18,True
q45:period,0.0700975622591298,0.034824888435813,0.034824888435813,observed information,2.0128582002015354,1.0726128226797589,1.001842476202195,1.1483824001337737,N to X,period,period,-166487.17788529227,354.76012150669703,18,True
